type;base;pattern;maxLength;minLength;enumeration;name;nillable;minOccurs;maxOccurs;section;libelle;rang
;;;;;;;;;;structureet;Section : structureet;1
typeNumeroFiness;string;[0-9][0-9A-Z][0-9]{7};;;;nofinesset;false;1;1;structureet;Numéro FINESS ET;2
typeNumeroFiness;string;[0-9][0-9A-Z][0-9]{7};;;;nofinessej;false;1;1;structureet;Numéro FINESS EJ;3
typeRaisonSociale;string;;38;1;;rs;false;1;1;structureet;Raison sociale;4
typeRaisonSocialeLongue;string;;60;1;;rslongue;true;1;1;structureet;Raison sociale longue;5
typeComplementRaisonSociale;string;;32;1;;complrs;true;1;1;structureet;Complément de raison sociale;6
typeComplementDistribution;string;;32;1;;compldistrib;true;1;1;structureet;Complément de distribution;7
typeNumeroVoie;string;[0-9]{1,4};;;;numvoie;true;1;1;structureet;Numéro de voie;8
typeTypeVoie;string;[A-Z]{1,4};;;;typvoie;true;1;1;structureet;Type de voie;9
typeLibelleVoie;string;;27;1;;voie;true;1;1;structureet;Libellé de voie;10
typeComplementVoie;string;;;;c("B", "C", "Q", "T");compvoie;true;1;1;structureet;Complément de voie;11
typeLieuDitBp;string;;32;1;;lieuditbp;true;1;1;structureet;Lieu-dit / BP;12
typeCommune;string;[0-9]{3};;;;commune;false;1;1;structureet;Code Commune;13
typeDepartement;string;[0-9][0-9A-Z];;;;departement;false;1;1;structureet;Département;14
typeLibelleDepartement;string;;24;1;;libdepartement;false;1;1;structureet;Libellé département;15
typeLigneAcheminement;string;[0-9]{5} [\s\S]{1,26};;;;ligneacheminement;false;1;1;structureet;Ligne d’acheminement (CodePostal+Lib commune);16
typeTelephone;string;[0-9]{10};;;;telephone;true;1;1;structureet;Téléphone;17
typeTelecopie;string;[0-9]{10};;;;telecopie;true;1;1;structureet;Télécopie;18
typeCategorie;string;[0-9]{3};;;;categetab;false;1;1;structureet;Catégorie d’établissement;19
typeLibelleCategorie;string;;60;1;;libcategetab;true;1;1;structureet;Libelle catégorie d’établissement;20
typeCategorieAgregat;string;[0-9]{4};;;;categagretab;false;1;1;structureet;Catégorie d’agrégat d’établissement;21
typeLibelleCategorieAgregat;string;;60;1;;libcategagretab;true;1;1;structureet;Libellé catégorie d’agrégat d’établissement;22
typeSiret;string;[0-9]{14};;;;siret;true;1;1;structureet;Numéro de SIRET;23
typeCodeApe;string;[0-9]{4}[A-Z];;;;codeape;true;1;1;structureet;Code APE;24
typeCodeMft;string;[0-9]{2};;;;codemft;true;1;1;structureet;Code MFT;25
typeLibelleMft;string;;60;1;;libmft;true;1;1;structureet;Libelle MFT;26
typeCodeSph;string;[0-9]{1};;;;codesph;true;1;1;structureet;Code SPH;27
typeLibelleSph;string;;60;1;;libsph;true;1;1;structureet;Libelle SPH;28
typeDateOuverture;date;;;;;dateouv;true;1;1;structureet;Date d’ouverture;29
typeDateAutorisation;date;;;;;dateautor;true;1;1;structureet;Date d’autorisation;30
typeDateMajStructure;date;;;;;datemaj;false;1;1;structureet;Date de mise à jour sur la structure;31
;;;;;;;;;;geolocalisation;Section : geolocalisation;32
typeNumeroFiness;string;[0-9][0-9A-Z][0-9]{7};;;;nofinesset;false;1;1;geolocalisation;Numéro FINESS ET;33
typeCoordGeo;float;;;;;coordxet;true;1;1;geolocalisation;Coordonnées X;34
typeCoordGeo;float;;;;;coordyet;true;1;1;geolocalisation;Coordonnées Y;35
typeCoordSource;string;;255;0;;sourcecoordet;true;1;1;geolocalisation;Source des coordonnées;36
typeDateMaj;date;;;;;datemaj;true;1;1;geolocalisation;Date de mise à jour des coordonnées;37
